Date1,Date2,Date3,Date4,Date5,Date6,Date7,Date8,Date9,Date10,Date11,Date12
1957.450289,4830.171,471495.5,641981.5,11516.3,1107.367,37734.63,68176.72,25576.5,486.522,61953.82,319030.2
1447.419341,1773.324,510063.9,447086.7,16032.91,285.504,24930.23,70205.65,30152.74,630.5621,39667.7,262030
2725.462345,1527.195,332124.2,237910.5,11698.68,51.22593,37805.64,75253.82,20125.34,405.3369,9069.287,90844.39
3137.541837,555.6927,284360.9,195258.6,8461.097,582.4807,16548.78,61021.39,123511.1,50.43989,21509.6,105806.8
2509.262025,503.4483,304155.3,63771.1,5011.784,494.1537,19738.33,68043.31,10330.47,176.6512,28620.49,112266.6
2413.763763,155.4767,218469.6,64250.14,4322.238,666.0813,32346.53,71965.43,31211.09,131.2989,41945.85,22056
1605.451359,757.4741,225256.7,51298.18,3141.276,572.3623,20333.38,71645.76,25986.54,581.3597,46362.78,31336.74
1933.793841,327.571,94240.11,45078.24,2424.407,390.054,15266.29,66828.09,36476.31,231.6671,40339.76,38550
2190.910247,12.34757,49325.27,42560.3,1722.076,208.0865,7983.881,55043.68,39039.03,99.44063,78074.25,42187.48
1931.109016,182.7549,53083.04,41810.91,2687.628,250.8945,9670.316,25288.44,34382.89,0,64066.04,34922.15
1884.811302,750.4507,37099.01,56681.72,3674.413,641.1525,33697.32,23695.74,30891.75,262.8641,31614.44,36427.15
2017.138977,189.2115,13246.47,20826,3095.469,492.5027,16171.36,23023.44,16656.26,0,44131.67,28701.68
1175.285077,575.7361,20816.23,31002.67,2505.826,34.546,24676.34,16155.22,21784.75,0,49404.7,69781.66
903.4879592,415.2705,24413.02,11597.84,1441.746,243.8072,56914.5,18592.86,18345.72,17.53364,35235.86,45734.45
518.8747684,346.6561,21984.83,15874.69,1428.996,196.3442,34461.49,7662.648,21359.66,322.8279,22280.43,58805.58
242.9890725,580.4421,16581.78,25623.34,2510.719,422.3367,35825.84,11943.51,21804.38,162.7244,34192.62,85786.25
8.173143754,612.022,27969.07,32658.81,3224.422,554.1751,37450.97,6195.821,15311.77,607.4681,48551.9,67863.17
113.9905851,741.2447,37296.99,39720.54,3969.295,353.5637,20566.06,5130.271,10900.93,407.1943,19554.29,52578.92
229.8473329,1788.79,37719.01,48442.15,4087.035,99.15754,27655.04,4628.195,10200.55,148.9358,4939.978,26943.72
136.2567093,1611.513,19869.53,39565.62,3116.843,507.1894,28765.3,16101.82,15621.12,157.5726,8407.255,14657.8
0,1652.703,25549.48,36919.67,3050.592,512.3254,9922.731,37716.41,16695.31,278.0782,5692.064,18395.75
