Date1,Date2,Date3,Date4,Date5,Date6,Date7,Date8,Date9,Date10,Date11,Date12
345.5573891,7.779069,3036.801,50604.61,179.7094,378.2046,573.9269,26009.27,25569.87,75.17747,11114.84,67068.54
2139.441315,546.6908,11263.57,46879.91,113.2052,175.8672,147.1945,23392.56,15018.93,102.9918,11706.54,157442
2065.995228,515.8257,3367.92,39038.8,19.68244,0,149.6927,37064.33,20550.55,382.9799,8262.38,48781.02
3744.780621,505.8794,4736.263,43982.61,0,0,105.9207,26724.11,37111.36,58.84454,15595.42,31731.7
3420.652051,189.209,6334.615,14396.96,86.39964,0,1507.565,73479.33,42907.46,0,7932.166,35029.21
4364.543367,416.1444,14249.79,33180.4,115.1857,8.756774,1976.93,54554.66,36306.98,0,10325.49,55704.32
4556.147277,228.1551,18967.21,32853.54,42.62859,3.112267,3387.64,45126.34,32009.28,90.7887,10113.26,48096.77
2702.048218,368.3712,24502.05,43869.21,50.07917,13.45823,8560.298,31300.85,25877.75,48.27824,9725.889,49671.54
1873.553857,320.0418,6996.37,20572.8,591.5214,147.589,6584.421,29999.42,17846.11,0,11530.61,33280.89
776.1495569,441.6098,1186.38,14984.5,659.7834,1501.121,8595.86,29709.79,22833.04,0,5760.714,51755.75
1406.124977,211.562,5870.249,13583.24,280.2368,667.683,14270.07,23842.42,18559.84,0,9212.314,68630.81
952.3823959,293.6088,8229.857,7282.638,838.8451,591.5944,18820.82,16360.96,10151.74,0,12067.13,71017.42
1122.371303,380.1426,6276.519,6730.787,713.7371,448.5456,28033.69,14296.76,16115.18,0,7484.008,58401.1
1432.189605,344.7428,4490.877,8496.881,265.442,628.9096,29260.54,12525.52,13089.62,0,8585.107,61084.45
970.1425229,207.8974,3341.701,14077.77,45.13718,630.1434,27361,4876.634,7842.925,0,14817.06,76058.84
804.5828453,264.673,5516.845,22455.96,57.57664,627.0878,39885.31,6118.785,8806.37,0,17449.92,62351.82
440.0595555,372.1555,7856.35,17711.5,410.6704,112.2476,50341.31,3433.477,8724.705,0,29297.87,127087.1
188.3065748,918.9243,23466.74,12817.12,577.639,251.7786,70322.58,2945.907,3277.291,30.18627,49654.35,108583.1
1099.156118,554.2927,5301.375,16598.13,248.133,10.28447,30050.95,2630.677,4141.923,0,34924.63,42860.24
224.2923208,447.233,6738.763,21129.76,639.8205,0.472976,22144.43,2356.635,6566.42,0,23716.39,45376.12
879.0928744,606.6696,5566.313,8893.713,304.1871,0,13715.52,1086.51,7618.497,0,26632.81,61723.2
866.8197989,465.4641,4670.462,5832.465,1402.533,0,16508.35,893.121,4792.515,0,26187.13,65791.59
