Date1 girl,Date1 boy,Date2 girl,Date2 boy,Date3 girl,Date3 boy,Date4 girl,Date4 boy,Date5 girl,Date5 boy,Date6 girl,Date6 boy,Date7 girl,Date7 boy,Date8 girl,Date8 boy,Date9 girl,Date9 boy,Date10 girl,Date10 boy,Date11 girl,Date11 boy,Date12 girl,Date12 boy
1.150902,0.909807,0.82022,0.335588,0.119149,0.87131,0.110175,0.484168,0.066621,0.544636,0.303639,0.428077,0.08712,0.937931,0.07175,0.444461,0.751106,0.252331,0.098651,0.430372,1.043151,0.345855,1.208439,0.116566
1.163715,0.91365,0.82022,0.336868,0.119149,0.867467,0.108894,0.480326,0.071746,0.545917,0.307482,0.430639,0.090964,0.958425,0.070469,0.445742,0.772886,0.253612,0.097369,0.430372,1.043151,0.348417,1.204596,0.119128
1.158589,0.914931,0.830469,0.336868,0.124274,0.864905,0.107612,0.482887,0.070465,0.544636,0.30492,0.429358,0.089682,0.960987,0.073031,0.44318,0.775448,0.252331,0.098651,0.42781,1.077741,0.348417,1.195629,0.115285
1.153464,0.909807,0.825345,0.340711,0.125555,0.868748,0.110175,0.470079,0.070465,0.545917,0.319013,0.429358,0.088401,0.948178,0.07175,0.44318,0.81004,0.25105,0.098651,0.426529,1.099519,0.35226,1.189224,0.122971
1.161152,0.909807,0.844562,0.341992,0.125555,0.867467,0.106331,0.461113,0.070465,0.536951,0.319013,0.429358,0.090964,0.866203,0.075594,0.444461,0.803634,0.25105,0.097369,0.426529,1.104644,0.348417,1.181538,0.122971
1.154746,0.914931,0.854812,0.345834,0.137086,0.863624,0.115299,0.470079,0.067902,0.531827,0.324138,0.425515,0.088401,0.574165,0.073031,0.44318,0.776729,0.249769,0.099932,0.426529,1.136671,0.347136,1.180257,0.125533
1.156027,0.934145,0.866342,0.349677,0.137086,0.857219,0.115299,0.470079,0.069184,0.526704,0.327981,0.428077,0.084558,0.439674,0.069188,0.44318,0.784416,0.25105,0.098651,0.423967,1.157169,0.347136,1.175133,0.12169
1.159871,0.952078,0.866342,0.350958,0.134524,0.852095,0.120423,0.468798,0.070465,0.526704,0.330544,0.430639,0.085839,0.511333,0.074313,0.44318,0.81004,0.253612,0.098651,0.421406,1.185353,0.347136,1.167446,0.12169
1.145777,0.963607,0.866342,0.350958,0.116587,0.84441,0.121704,0.468798,0.067902,0.53567,0.331825,0.425515,0.090964,0.444728,0.07175,0.44318,0.804915,0.25105,0.098651,0.423967,1.199445,0.347136,1.175133,0.124252
1.138089,0.962326,0.872748,0.350958,0.105056,0.836724,0.114018,0.468798,0.070465,0.545917,0.331825,0.434481,0.084558,0.475469,0.073031,0.445742,0.801071,0.253612,0.098651,0.422687,1.203289,0.347136,1.1841,0.122971
1.185496,0.963607,0.86378,0.350958,0.106338,0.830319,0.122986,0.470079,0.069184,0.542074,0.327981,0.422953,0.083276,0.434481,0.070469,0.449585,0.794666,0.253612,0.097369,0.423967,1.199445,0.344574,1.164884,0.122971
1.193183,0.959764,0.857374,0.35352,0.114025,0.823915,0.121704,0.468798,0.062778,0.545917,0.330544,0.420392,0.088401,0.346101,0.073031,0.450866,0.775448,0.252331,0.098651,0.423967,1.19304,0.345855,1.163603,0.124252
1.182933,0.949516,0.849687,0.350958,0.114025,0.816229,0.126829,0.468798,0.069184,0.55104,0.329262,0.420392,0.085839,0.44729,0.074313,0.450866,0.772886,0.252331,0.099932,0.423967,1.178948,0.344574,1.153355,0.124252
1.191902,0.950797,0.856093,0.350958,0.119149,0.813667,0.130672,0.468798,0.069184,0.548478,0.331825,0.415268,0.089682,0.369157,0.07175,0.450866,0.765198,0.253612,0.096088,0.421406,1.175104,0.347136,1.152074,0.12169
1.18934,0.946954,0.856093,0.352239,0.111462,0.809824,0.130672,0.467517,0.066621,0.549759,0.327981,0.416549,0.085839,0.360191,0.074313,0.450866,0.785697,0.253612,0.101213,0.421406,1.177667,0.350979,1.149512,0.122971
1.193183,0.945674,0.86378,0.352239,0.106338,0.808543,0.130672,0.467517,0.069184,0.549759,0.331825,0.416549,0.084558,0.442166,0.073031,0.452147,0.794666,0.254893,0.101213,0.418844,1.16998,0.348417,1.141826,0.122971
1.203433,0.946954,0.859936,0.35352,0.115306,0.807262,0.133234,0.467517,0.067902,0.55104,0.330544,0.415268,0.084558,0.370438,0.076875,0.452147,0.786978,0.252331,0.098651,0.418844,1.161012,0.349698,1.141826,0.119128
1.217527,0.945674,0.881716,0.354801,0.112744,0.80342,0.131953,0.466236,0.066621,0.55104,0.327981,0.419111,0.084558,0.44729,0.074313,0.452147,0.781854,0.25105,0.099932,0.417563,1.16998,0.349698,1.139264,0.12169
1.177808,0.946954,0.909902,0.356081,0.112744,0.805981,0.131953,0.464955,0.070465,0.55104,0.329262,0.415268,0.084558,0.444728,0.074313,0.452147,0.784416,0.249769,0.099932,0.417563,1.157169,0.348417,1.129016,0.112723
1.177808,0.948235,0.948338,0.356081,0.112744,0.807262,0.133234,0.463674,0.066621,0.55104,0.330544,0.420392,0.084558,0.466503,0.076875,0.449585,0.785697,0.249769,0.097369,0.417563,1.153326,0.347136,1.132859,0.112723
1.170121,0.92774,0.973961,0.356081,0.111462,0.808543,0.131953,0.463674,0.069184,0.552321,0.330544,0.41783,0.08712,0.480592,0.074313,0.449585,0.862568,0.252331,0.101213,0.418844,1.182791,0.345855,1.127735,0.110161
1.172683,0.932864,1.008553,0.357362,0.112744,0.809824,0.131953,0.462393,0.067902,0.553602,0.325419,0.419111,0.085839,0.481873,0.078157,0.447023,0.890754,0.249769,0.099932,0.418844,1.207132,0.343293,1.136702,0.112723
1.176527,0.934145,1.022646,0.357362,0.112744,0.809824,0.133234,0.462393,0.064059,0.552321,0.322857,0.425515,0.085839,0.079681,0.075594,0.448304,0.880504,0.245927,0.099932,0.416282,1.016248,0.345855,1.135421,0.114004
1.16884,0.932864,0.943282,0.357362,0.120431,0.809824,0.133234,0.461113,0.069184,0.553602,0.319013,0.419111,0.08712,0.905841,0.076875,0.448304,0.856162,0.247208,0.099932,0.416282,0.915041,0.348417,1.127735,0.114004
1.164996,0.926459,0.98428,0.357362,0.120431,0.809824,0.137078,0.459832,0.066621,0.549759,0.316451,0.443447,0.084558,0.885347,0.075594,0.448304,0.861287,0.248488,0.097369,0.41372,0.982939,0.348417,1.130297,0.111442
1.167558,0.917493,0.971468,0.357362,0.121712,0.8047,0.134515,0.45727,0.066621,0.55104,0.319013,0.424234,0.085839,0.90456,0.074313,0.448304,0.872817,0.229275,0.097369,0.41372,1.023935,0.348417,1.127735,0.112723
1.16884,0.918774,0.959937,0.358643,0.122993,0.80342,0.134515,0.45727,0.069184,0.547198,0.313888,0.420392,0.088401,0.923773,0.076875,0.452147,0.889473,0.227995,0.101213,0.429091,1.081584,0.349698,1.122611,0.111442
1.172683,0.929021,0.943282,0.357362,0.124274,0.80342,0.135797,0.45727,0.069184,0.553602,0.315169,0.420392,0.085839,0.93402,0.074313,0.452147,0.892035,0.225433,0.099932,0.41372,1.132828,0.349698,1.12133,0.10888
1.181652,0.930302,0.926627,0.357362,0.120431,0.800858,0.134515,0.458551,0.066621,0.549759,0.319013,0.422953,0.083276,0.94939,0.07175,0.452147,0.872817,0.22159,0.097369,0.411159,1.162293,0.350979,1.112363,0.110161
1.18934,0.917493,0.931751,0.357362,0.122993,0.799577,0.134515,0.458551,0.069184,0.55104,0.3267,0.422953,0.088401,0.957075,0.073031,0.454708,0.870255,0.216467,0.101213,0.411159,1.172542,0.345855,1.111082,0.110161
1.184215,0.90084,0.931751,0.357362,0.120431,0.800858,0.133234,0.458551,0.066621,0.53567,0.330544,0.430639,0.089682,0.930177,0.074313,0.455989,0.87538,0.216467,0.099932,0.409878,1.168699,0.347136,1.109801,0.110161
1.190621,0.820141,0.927908,0.356081,0.120431,0.797015,0.133234,0.458551,0.066621,0.542074,0.325419,0.437043,0.085839,0.953233,0.074313,0.45727,0.867693,0.216467,0.098651,0.393227,1.207132,0.345855,1.104676,0.114004
